from,to,cost
1,91,19166.42
1,92,17171.97
1,93,19476.09
1,94,17872.6
1,95,16112.37
1,96,16508.11
1,97,19419.51
1,98,21704.94
1,99,16350.16
1,100,16446.65
1,101,19189.45
1,102,17289.27
1,103,22424.53
1,104,17413.14
1,105,22434.4
1,106,19970.27
1,107,16548.65
1,108,8905.88
1,109,7658.29
1,110,22558.37
1,111,26788.02
1,112,13107.06
1,113,26566.59
1,114,11436.41
1,115,4646.63
1,116,15263.58
1,117,16959.59
1,118,11646.7
1,119,19903.95
1,120,6290.6
1,121,18943.02
1,122,18691.69
1,123,3816.96
1,124,9884.73
1,125,17295.34
1,126,9176.75
1,127,1800.89
1,128,10210.65
1,129,1781.42
1,130,4541.54
1,131,16019.53
1,132,1270.64
1,133,3736.09
1,134,9687.7
1,135,18468.14
1,136,4525.64
1,137,11172.77
1,138,10038.4
1,139,3745.69
1,140,13790.62
1,141,6596.78
1,142,12686.43
1,143,8151.33
1,144,3184.35
1,145,12935.39
1,146,12751.18
1,147,2099.92
1,148,10044.47
1,149,20900.35
1,150,25088.55
1,151,22201.09
1,152,22570.67
1,153,20173.97
1,154,22201.09
1,155,20724.15
1,156,18957.18
1,157,24408.08
1,158,20959.36
1,159,21114.56
1,160,25600.13
1,161,23493.45
1,162,20846.07
1,163,21028.06
1,164,20207.84
1,165,24763.96
1,166,21903.65
1,167,17953.2
1,168,22391.33
1,169,21904.95
1,170,21019.47
1,171,21295.44
1,172,21925.94
1,173,17571.32
1,174,20937.02
1,175,21084.94
1,176,19763.01
1,177,20965.48
1,178,21945.45
1,179,17983.52
1,180,21824.4
1,181,24408.08
1,182,23021.79
1,183,18001.38
1,184,24361.93
1,185,17561.23
1,186,21136.3
1,187,20960.58
1,188,17945.39
1,189,23161.46
1,190,21382.77
1,191,22450.49
1,192,19763.01
1,193,17584.07
1,194,22838.72
1,195,20581.86
1,196,24301.23
1,197,19893.25
1,198,21804.79
1,199,21804.78
1,200,21619.56
1,201,23414.6
1,202,24988.54
1,203,20007.81
1,204,21396.64
1,205,20007.81
1,206,20879.53
1,207,21035.4
1,208,19894.15
1,209,21121.46
1,210,24857.8
1,211,23859.14
1,212,19052.36
1,213,21824.4
1,214,9261.92
1,215,13471.91
1,216,8090.27
1,217,11070.06
1,218,17207.37
1,219,10422.11
1,220,9441.75
1,221,8768.21
1,222,10565.72
1,223,20115.08
1,224,9915.24
1,225,21118.47
1,226,24716.98
1,227,9915.24
2,0,8731.54
2,1,5625.76
2,2,0.0
2,3,3280.12
2,4,1035.65
2,5,11465.75
2,6,10027.42
2,7,6659.59
2,8,2905.29
2,9,7631.76
2,10,5065.2
2,11,4470.84
2,12,387.42
2,13,16912.7
2,14,4968.68
2,15,3392.76
2,16,8920.21
2,17,8335.06
2,18,10189.580000000002
2,19,10953.16
2,20,6737.24
2,21,7082.72
2,22,11764.43
2,23,6879.18
2,24,10906.43
2,25,10784.96
2,26,12628.35
2,27,10661.22
2,28,7042.16
2,29,6713.24
2,30,6946.7
2,31,7351.87
2,32,6954.52
2,33,9346.31
2,34,7717.489999999999
2,35,6507.48
2,36,6447.38
2,37,8526.33
2,38,11503.64
2,39,8526.33
2,40,10655.76
2,41,10784.96
2,42,19107.02
2,43,10953.16
2,44,9202.96
2,45,8920.21
2,46,6954.52
2,47,10914.68
2,48,11099.7
2,49,17117.12
2,50,6899.57
2,51,15651.39
2,52,14322.19
2,53,18621.51
2,54,9305.13
2,55,20718.57
2,56,18181.27
2,57,9728.75
2,58,9822.62
2,59,14335.16
2,60,14322.19
2,61,13253.17
2,62,18755.04
2,63,9466.59
2,64,14026.14
2,65,9811.13
2,66,9238.42
2,67,9281.98
2,68,10077.73
2,69,9222.35
2,70,18181.27
2,71,20296.36
2,72,14928.34
2,73,21220.1
2,74,13682.46
2,75,14572.38
2,76,14779.97
2,77,13898.35
2,78,15013.23
2,79,15635.61
2,80,14410.16
2,81,13388.4
2,82,15472.45
2,83,13103.13
2,84,15100.94
2,85,14328.28
2,86,18835.92
2,87,13312.88
2,88,15619.95
2,89,18353.34
2,90,13308.79
2,91,14384.86
2,92,16603.32
2,93,14622.3
2,94,17748.72
2,95,13491.99
2,96,14616.35
2,97,14572.38
2,98,16680.03
2,99,13388.4
2,100,13133.82
2,101,14410.16
2,102,13331.4
2,103,17365.33
2,104,13371.98
2,105,17377.54
2,106,15013.23
2,107,13139.78
2,108,14293.48
2,109,13113.81
2,110,27487.18
2,111,31540.45
2,112,18307.59
2,113,31332.23
2,114,16722.4
2,115,9956.6
2,116,20385.37
2,117,22062.98
2,118,16922.95
2,119,24859.57
2,120,11694.59
2,121,23917.45
2,122,23691.83
2,123,9259.62
2,124,15232.52
2,125,22397.8
2,126,14548.32
2,127,5528.07
2,128,6901.53
2,129,7406.75
2,130,4591.05
2,131,11839.99
2,132,5964.47
2,133,4866.16
2,134,6475.19
2,135,13976.0
2,136,4574.52
2,137,7791.64
2,138,6760.77
2,139,4887.08
2,140,10003.72
2,141,3907.99
2,142,10334.84
2,143,5478.36
2,144,5512.86
2,145,10640.080000000002
2,146,10414.16
2,147,3861.04
2,148,7697.89
2,149,23085.45
2,150,21469.9
2,151,19828.49
2,152,20089.0
2,153,19895.03
2,154,19828.49
2,155,21166.99
2,156,23035.65
2,157,21059.88
2,158,22336.88
2,159,25775.79
2,160,21829.93
2,161,28482.12
2,162,22424.78
2,163,21812.7
2,164,20419.74
2,165,21350.81
2,166,20099.23
2,167,21354.13
2,168,19946.21
2,169,20185.27
2,170,20234.66
2,171,22280.52
2,172,20183.93
2,173,21303.11
2,174,22773.2
2,175,21895.67
2,176,24088.66
2,177,22857.13
2,178,20370.3
2,179,21893.28
2,180,26603.1
2,181,21059.88
2,182,20291.78
2,183,21907.88
2,184,21039.2
2,185,21244.36
2,186,22375.56
2,187,22795.2
2,188,21353.76
2,189,20258.58
2,190,26092.79
2,191,27319.68
2,192,24088.66
2,193,21266.71
2,194,20276.55
2,195,20967.3
2,196,20995.28
2,197,19874.64
2,198,26585.26
2,199,26580.39
2,200,20598.03
2,201,20408.37
2,202,21437.85
2,203,22517.23
2,204,20459.46
2,205,22517.23
2,206,21487.38
2,207,20252.57
2,208,19930.69
2,209,25778.73
2,210,21382.94
2,211,28886.99
2,212,21879.22
2,213,26603.1
2,214,12884.27
2,215,14896.54
2,216,13104.17
2,217,13464.78
2,218,17666.43
2,219,13214.26
2,220,12923.52
2,221,12756.84
2,222,13274.36
2,223,19981.55
2,224,13057.44
2,225,20827.51
2,226,23992.78
2,227,13057.44
3,0,11903.45
3,1,8749.35
3,2,3280.12
3,3,0.0
3,4,4315.55
3,5,8193.1
3,6,6759.32
3,7,9761.19
3,8,6171.81
3,9,4355.25
3,10,1790.75
3,11,7688.279999999999
3,12,2892.84
3,13,13633.8
3,14,1694.58
3,15,6641.74
3,16,8214.35
3,17,7388.649999999999
3,18,7128.46
3,19,10322.56
3,20,3641.22
3,21,5592.96
3,22,8765.66
3,23,4980.34
3,24,7878.05
3,25,7751.89
3,26,9652.65
3,27,10025.85
3,28,5462.8
3,29,3616.42
3,30,3708.98
3,31,4071.92
3,32,3723.46
3,33,6243.14
3,34,4460.47
3,35,3683.51
3,36,4004.46
3,37,5363.04
3,38,10883.39
3,39,5363.04
3,40,10026.94
3,41,7751.89
3,42,16117.47
3,43,10322.56
3,44,8509.83
3,45,8214.35
3,46,3723.46
3,47,7889.62
3,48,8080.47
3,49,14150.16
3,50,4995.15
3,51,16377.68
3,52,14933.75
3,53,19456.45
3,54,7340.8
3,55,21789.75
3,56,18998.68
3,57,8215.84
3,58,9394.1
3,59,14948.31
3,60,14933.75
3,61,13713.96
3,62,19602.29
3,63,6508.55
3,64,14593.26
3,65,9438.45
3,66,7232.58
3,67,6476.39
3,68,10042.47
3,69,6523.23
3,70,18998.68
3,71,21358.14
3,72,15608.81
3,73,22280.78
3,74,10743.14
3,75,11406.38
3,76,11591.64
3,77,12294.31
3,78,11804.38
3,79,12413.41
3,80,11273.24
3,81,11338.96
3,82,12251.6
3,83,10653.45
3,84,13916.72
3,85,12798.74
3,86,18491.7
3,87,11189.31
3,88,12396.89
3,89,17933.87
3,90,10630.46
3,91,11247.22
3,92,15864.62
3,93,11453.3
3,94,17217.64
3,95,11657.61
3,96,13178.75
3,97,11406.38
3,98,13443.99
3,99,11338.96
3,100,10870.73
3,101,11273.24
3,102,10653.67
3,103,14118.73
3,104,10642.81
3,105,14131.47
3,106,11804.38
3,107,10814.45
3,108,17072.06
3,109,15963.39
3,110,29771.4
3,111,33661.61
3,112,20889.5
3,113,33464.7
3,114,19389.34
3,115,12776.330000000002
3,116,22883.28
3,117,24528.9
3,118,19579.84
3,119,27186.82
3,120,14528.87
3,121,26267.82
3,122,26063.58
3,123,12175.09
3,124,17966.99
3,125,24859.66
3,126,17310.81
3,127,8803.79
3,128,7820.08
3,129,10509.88
3,130,7622.62
3,131,11307.46
3,132,9211.28
3,133,8042.93
3,134,7563.489999999999
3,135,12976.32
3,136,7609.04
3,137,8481.13
3,138,7734.439999999999
3,139,8062.859999999999
3,140,10025.86
3,141,4260.77
3,142,8951.17
3,143,4956.89
3,144,8755.72
3,145,9260.61
3,146,9031.4
3,147,7122.66
3,148,6749.13
3,149,23710.35
3,150,18807.02
3,151,17887.96
3,152,18078.54
3,153,19183.0
3,154,17887.96
3,155,20832.98
3,156,24797.3
3,157,18545.23
3,158,22510.87
3,159,27882.11
3,160,19085.68
3,161,30804.84
3,162,22713.48
3,163,21657.15
3,164,19976.58
3,165,18796.94
3,166,18482.26
3,167,22739.54
3,168,17960.55
3,169,18615.34
3,170,19212.78
3,171,22227.42
3,172,18600.96
3,173,22887.16
3,174,23202.29
3,175,21752.74
3,176,25991.02
3,177,23316.33
3,178,18879.43
3,179,23572.34
3,180,28784.2
3,181,18545.23
3,182,18134.33
3,183,23584.65
3,184,18538.57
3,185,22800.57
3,186,22467.8
3,187,23222.76
3,188,22743.59
3,189,18004.17
3,190,28229.97
3,191,29560.54
3,192,25991.02
3,193,22822.11
3,194,18215.15
3,195,20606.51
3,196,18504.42
3,197,19316.34
3,198,28767.81
3,199,28759.49
3,200,19424.87
3,201,18092.9
3,202,18810.55
3,203,23347.33
3,204,19340.39
3,205,23347.33
3,206,21239.13
3,207,19231.25
3,208,19402.66
3,209,27882.26
3,210,18796.04
3,211,31237.75
3,212,22912.58
3,213,28784.2
3,214,14717.99
3,215,15423.46
3,216,15661.73
3,217,14621.87
3,218,17482.07
3,219,14598.81
3,220,14683.19
3,221,14783.92
3,222,14610.97
3,223,19351.79
3,224,14634.38
3,225,20075.57
3,226,22897.82
3,227,14634.38
4,0,7757.18
4,1,4695.51
4,2,1035.65
4,3,4315.55
4,4,0.0
4,5,12500.86
4,6,11062.04
4,7,5733.14
4,8,1889.16
4,9,8667.35
4,10,6100.79
4,11,3487.65
4,12,1423.07
4,13,17947.24
4,14,6004.27
4,15,2391.72
4,16,9351.43
4,17,8847.3
4,18,11188.26
4,19,11320.830000000002
4,20,7740.939999999999
4,21,7766.95
4,22,12747.59
4,23,7659.739999999999
4,24,11897.330000000002
4,25,11777.02
4,26,13604.96
4,27,11035.41
4,28,7748.18
4,29,7717.18
4,30,7973.439999999999
4,31,8387.4
4,32,7980.08
4,33,10354.3
4,34,8751.11
4,35,7468.609999999999
4,36,7344.02
4,37,9545.77
4,38,11859.29
4,39,9545.77
4,40,11028.15
4,41,11777.02
4,42,20078.12
4,43,11320.830000000002
4,44,9623.74
4,45,9351.43
4,46,7980.08
4,47,11904.91
4,48,12088.38
4,49,18084.91
4,50,7680.77
4,51,15582.61
4,52,14304.39
4,53,18494.45
4,54,10084.04
4,55,20500.71
4,56,18062.85
4,57,10395.18
4,58,10197.9
4,59,14316.7
4,60,14304.39
4,61,13297.19
4,62,18623.05
4,63,10448.15
4,64,14026.21
4,65,10170.47
4,66,10027.51
4,67,10235.79
4,68,10330.71
4,69,10156.06
4,70,18062.85
4,71,20083.78
4,72,14881.53
4,73,21003.41
4,74,14649.17
4,75,15586.77
4,76,15798.89
4,77,14540.63
4,78,16036.26
4,79,16661.19
4,80,15418.55
4,81,14148.080000000002
4,82,16497.79
4,83,13960.78
4,84,15620.03
4,85,14947.48
4,86,19083.33
4,87,14091.3
4,88,16645.7
4,89,18626.61
4,90,14218.24
4,91,15393.42
4,92,16983.65
4,93,15637.28
4,94,18059.52
4,95,14196.98
4,96,15208.66
4,97,15586.77
4,98,17708.21
4,99,14148.080000000002
4,100,13947.15
4,101,15418.55
4,102,14240.63
4,103,18395.54
4,104,14292.73
4,105,18407.64
4,106,16036.26
4,107,13967.93
4,108,13478.02
4,109,12273.06
4,110,26826.74
4,111,30931.28
4,112,17557.31
4,113,30719.4
4,114,15943.74
4,115,9145.72
4,116,19661.41
4,117,21346.98
4,118,16147.63
4,119,24188.46
4,120,10866.66
4,121,23239.87
4,122,23006.94
4,123,8409.3
4,124,14431.76
4,125,21682.57
4,126,13738.55
4,127,4497.44
4,128,6891.37
4,129,6474.32
4,130,3708.01
4,131,12164.71
4,132,4953.96
4,133,3889.46
4,134,6423.12
4,135,14410.52
4,136,3690.0
4,137,7826.3
4,138,6737.12
4,139,3910.8
4,140,10193.69
4,141,4360.1
4,142,10959.5
4,143,6036.02
4,144,4494.9
4,145,11259.16
4,146,11037.4
4,147,2845.22
4,148,8268.89
4,149,23004.91
4,150,22356.94
4,151,20529.23
4,152,20807.72
4,153,20247.07
4,154,20529.23
4,155,21398.55
4,156,22570.77
4,157,21909.37
4,158,22404.62
4,159,25181.95
4,160,22737.3
4,161,27806.37
4,162,22455.62
4,163,21986.18
4,164,20688.32
4,165,22209.95
4,166,20710.36
4,167,21026.3
4,168,20658.72
4,169,20782.97
4,170,20676.07
4,171,22419.96
4,172,20785.27
4,173,20906.64
4,174,22757.46
4,175,22064.85
4,176,23571.14
4,177,22831.32
4,178,20945.14
4,179,21461.3
4,180,25980.99
4,181,21909.37
4,182,21049.21
4,183,21476.65
4,184,21885.1
4,185,20857.84
4,186,22468.96
4,187,22779.86
4,188,21024.4
4,189,21041.79
4,190,25487.31
4,191,26674.98
4,192,23571.14
4,193,20880.38
4,194,21008.36
4,195,21208.04
4,196,21838.73
4,197,20180.86
4,198,25962.67
4,199,25959.04
4,200,21081.55
4,201,21207.28
4,202,22315.8
4,203,22371.69
4,204,20928.01
4,205,22371.69
4,206,21691.05
4,207,20693.74
4,208,20227.51
4,209,25185.87
4,210,22250.56
4,211,28200.64
4,212,21668.73
4,213,25980.99
4,214,12451.22
4,215,14900.62
4,216,12385.080000000002
4,217,13271.18
4,218,17872.58
4,219,12942.92
4,220,12517.9
4,221,12251.2
4,222,13019.49
4,223,20308.62
4,224,12718.080000000002
4,225,21186.77
4,226,24440.57
4,227,12718.080000000002
5,0,19878.51
5,1,16716.96
5,2,11465.75
5,3,8193.1
5,4,12500.86
5,5,0.0
5,6,1445.3
5,7,17679.35
5,8,14329.26
5,9,3839.3
5,10,6402.77
5,11,15777.72
5,12,11078.53
5,13,5563.25
5,14,6499.13
5,15,14776.6
5,16,11909.48
5,17,10997.1
5,18,2954.41
5,19,13426.54
5,20,5411.68
5,21,9231.88
5,22,3473.88
5,23,8286.3
5,24,3110.31
5,25,3075.47
5,26,3988.68
5,27,13211.44
5,28,9023.28
5,29,5426.44
5,30,4778.11
5,31,4138.75
5,32,4797.64
5,33,3033.94
5,34,3761.13
5,35,6246.35
5,36,7118.53
5,37,3308.46
5,38,13845.45
5,39,3308.46
5,40,13225.38
5,41,3075.47
5,42,9053.67
5,43,13426.54
5,44,12111.78
5,45,11909.48
5,46,4797.64
5,47,3134.96
5,48,3189.55
5,49,7376.75
5,50,8275.81
5,51,19978.23
5,52,18500.95
5,53,22951.47
5,54,7599.41
5,55,25589.8
5,56,22500.07
5,57,9134.89
5,58,12213.73
5,59,18516.52
5,60,18500.95
5,61,17180.1
5,62,23109.71
5,63,3765.98
5,64,18124.08
5,65,12353.19
5,66,7451.67
5,67,4530.89
5,68,13408.21
5,69,4989.35
5,70,22500.07
5,71,25169.54
5,72,19217.3
5,73,26024.78
5,74,4847.46
5,75,3848.97
5,76,3860.32
5,77,11195.72
5,78,3922.17
5,79,4423.08
5,80,3939.08
5,81,9143.14
5,82,4274.9
5,83,7221.84
5,84,13565.7
5,85,11769.21
5,86,19464.07
5,87,8790.83
5,88,4402.45
5,89,18799.46
5,90,6183.65
5,91,3912.49
5,92,16269.97
5,93,3869.17
5,94,17915.03
5,95,10059.57
5,96,12309.74
5,97,3848.97
5,98,5360.71
5,99,9143.14
5,100,8088.02
5,101,3939.08
5,102,6199.97
5,103,5985.81
5,104,5940.21
5,105,6000.39
5,106,3922.17
5,107,7815.989999999999
5,108,24317.01
5,109,23356.67
5,110,35747.35
5,111,39206.54
5,112,27678.3
5,113,39038.2
5,114,26374.93
5,115,20227.11
5,116,29458.67
5,117,30998.78
5,118,26542.07
5,119,33312.57
5,120,21940.07
5,121,32463.59
5,122,32307.5
5,123,19781.94
5,124,25111.41
5,125,31313.17
5,126,24521.8
5,127,16965.85
5,128,14058.01
5,129,18413.11
5,130,15720.61
5,131,14336.3
5,132,17322.31
5,133,16209.25
5,134,14052.71
5,135,14540.95
5,136,15708.88
5,137,14276.42
5,138,14056.3
5,139,16228.63
5,140,14429.3
5,141,10693.39
5,142,9806.1
5,143,9924.03
5,144,16945.47
5,145,9974.78
5,146,9848.67
5,147,15268.16
5,148,9819.72
5,149,26411.97
5,150,12844.27
5,151,14537.65
5,152,14475.71
5,153,19154.56
5,154,14537.65
5,155,21556.86
5,156,29853.02
5,157,13151.72
5,158,24282.13
5,159,33536.59
5,160,12796.88
5,161,36839.33
5,162,24731.96
5,163,22729.71
5,164,20526.74
5,165,13236.63
5,166,16052.12
5,167,27128.99
5,168,14454.42
5,169,16307.11
5,170,18369.16
5,171,23491.35
5,172,16255.98
5,173,27672.93
5,174,25501.69
5,175,22846.39
5,176,31287.27
5,177,25675.15
5,178,16768.15
5,179,28515.69
5,180,34569.12
5,181,13151.72
5,182,14037.26
5,183,28522.77
5,184,13196.5
5,185,27534.64
5,186,24052.69
5,187,25517.17
5,188,27141.88
5,189,13593.1
5,190,33938.52
5,191,35450.8
5,192,31287.27
5,193,27553.38
5,194,14427.41
5,195,21288.97
5,196,13201.12
5,197,19659.46
5,198,34556.17
5,199,34540.88
5,200,18142.78
5,201,13458.87
5,202,12979.56
5,203,26525.42
5,204,18217.29
5,205,26525.42
5,206,22129.57
5,207,18386.73
5,208,19810.6
5,209,33530.97
5,210,13115.14
5,211,37322.68
5,212,26556.52
5,213,34569.12
5,214,20526.8
5,215,18750.01
5,216,22593.17
5,217,19264.49
5,218,18968.51
5,219,19650.34
5,220,20371.02
5,221,20907.1
5,222,19576.55
5,223,19511.11
5,224,20016.37
5,225,19835.97
5,226,21457.04
5,227,20016.37
6,0,18436.35
6,1,15274.0
6,2,10027.42
6,3,6759.32
6,4,11062.04
6,5,1445.3
6,6,0.0
6,7,16238.72
6,8,12886.26
6,9,2414.95
6,10,4968.61
6,11,14332.43
6,12,9640.4
6,13,6994.36
6,14,5064.74
6,15,13332.27
6,16,11039.16
6,17,10104.23
6,18,2365.19
6,19,12693.38
6,20,4174.43
6,21,8242.54
6,22,3549.39
6,23,7272.43
6,24,2863.09
6,25,2774.44
6,26,4298.28
6,27,12459.45
6,28,8030.859999999999
6,29,4185.9
6,30,3453.86
6,31,2728.95
6,32,3481.82
6,33,2021.36
6,34,2316.5
6,35,5076.04
6,36,6006.96
6,37,1984.64
6,38,13146.02
6,39,1984.64
6,40,12471.8
6,41,2774.44
6,42,10073.18
6,43,12693.38
6,44,11262.16
6,45,11039.16
6,46,3481.82
6,47,2889.22
6,48,3022.14
6,49,8273.46
6,50,7264.569999999999
6,51,19008.22
6,52,17519.51
6,53,22022.3
6,54,6733.7
6,55,24634.84
6,56,21566.47
6,57,8275.06
6,58,11213.330000000002
6,59,17535.11
6,60,17519.51
6,61,16195.49
6,62,22179.97
6,63,2912.3
6,64,17143.05
6,65,11344.37
6,66,6578.94
6,67,3664.52
6,68,12368.63
6,69,4123.45
6,70,21566.47
6,71,24210.46
6,72,18238.29
6,73,25080.36
6,74,5330.38
6,75,4952.12
6,76,5044.48
6,77,10798.74
6,78,5179.48
6,79,5738.23
6,80,4944.76
6,81,8878.78
6,82,5582.18
6,83,7131.38
6,84,13105.41
6,85,11379.99
6,86,18886.64
6,87,8552.12
6,88,5719.46
6,89,18230.8
6,90,6295.66
6,91,4917.39
6,92,15737.89
6,93,4985.16
6,94,17361.5
6,95,9714.080000000002
6,96,11908.1
6,97,4952.12
6,98,6726.37
6,99,8878.78
6,100,7895.75
6,101,4944.76
6,102,6315.36
6,103,7378.5
6,104,6110.11
6,105,7392.109999999999
6,106,5179.48
6,107,7657.939999999999
6,108,22934.18
6,109,21958.74
6,110,34530.29
6,111,38052.86
6,112,26348.38
6,113,37880.34
6,114,25021.49
6,115,18819.57
6,116,28156.25
6,117,29711.62
6,118,25191.38
6,119,32071.97
6,120,20538.54
6,121,31212.62
6,122,31050.25
6,123,18361.83
6,124,23739.63
6,125,30028.53
6,126,23142.55
6,127,15522.67
6,128,12892.85
6,129,16973.55
6,130,14313.85
6,131,13638.72
6,132,15877.11
6,133,14787.26
6,134,12855.1
6,135,14090.11
6,136,14301.74
6,137,13173.03
6,138,12880.26
6,139,14806.81
6,140,13524.07
6,141,9302.54
6,142,8995.31
6,143,8615.63
6,144,15514.59
6,145,9195.89
6,146,9046.27
6,147,13824.21
6,148,8697.0
6,149,25624.2
6,150,13599.12
6,151,14697.75
6,152,14690.04
6,153,18743.19
6,154,14697.75
6,155,21045.22
6,156,28743.38
6,157,13765.01
6,158,23624.31
6,159,32357.28
6,160,13637.53
6,161,35616.46
6,162,24038.47
6,163,22171.73
6,164,20032.96
6,165,13893.18
6,166,16045.87
6,167,26099.41
6,168,14647.05
6,169,16280.48
6,170,18093.02
6,171,22908.84
6,172,16235.91
6,173,26591.55
6,174,24769.85
6,175,22286.02
